htype,region,Project Type,Bedroom(s),Bathroom(s),Swimming Pool,Parking,Toilet(s),Construction Year,Garage,Nb. Rooms,Air-con,Beachfront,Interior Surface New,Land Surface New,Access for Disabled People,Access to rooftop,Air Conditioning,Alarm System,Automated Garage,Balcony,Basement,Carport,Centralized Ventilation System,Close to Bus Stop,Close to Golf Course,Close to Hospital,Close to School,Close to Shops,Cooking Service,Dressing,Electric Generator,Energy Efficiency - High,Fenced,Fire Alarm System,Fireplace,Fitness Room,Freehold Land,Furnished,Garden,Guarded Parking,House Cleaning,Indoor Spa,Internet/Wi-Fi,Laundry Room,Lift,Located in a private morcellement,Located in a residential complex,Located in a senior residence,Mountain View,Office,Recently Refurbished,River View,Sea Access,Sea View,Secured Parking,Security Bars,Sewage System,Solar Panels,Solar Water Heater,Soundproof,TV Room,Tennis Court,Veranda,Watchman,Water Heater,Water Tank,Yard,price
penthouse,"Trou aux Biches, North",PDS,2,2,Private Pool,,,2021,yes,,1.0,,212.0,,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,"35,103,750"
penthouse,"Haute Rive, North",IRS,4,3,Common Pool,Yes,1,,no,,,,295.0,,no,no,yes,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,"24,679,000"
penthouse,"Péreybère, North",RES,3,2,Common Pool,Yes,,,no,,,,115.0,,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,yes,yes,no,no,"12,500,000"
penthouse,"Pointe d'Esny, South",none,4,4,Common Pool,Yes,4,,no,5,,Yes,253.0,,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,"60,000,000"
penthouse,"Grand Bay, North",RES,3,3,Common Pool,,,2018,no,,,Yes,452.0,,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,"160,000,000"
penthouse,"Pointe aux Canonniers, North",G+2,3,3,Common Pool,Yes,3,,no,,,,300.0,,no,no,yes,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,yes,no,yes,yes,no,"40,000,000"
penthouse,"Moka, Center",G+2,3,3,,Yes,,2014,no,,,,233.0,,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,yes,"25,000,000"
penthouse,"Mon Choisy, North",RES,2,2,Common Pool,,,,no,,,,150.0,,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,"23,000,000"
penthouse,"St Antoine, North",PDS,4,4,Private Pool,,,,no,,,,330.0,,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,"49,000,000"
penthouse,"Tamarin, West",RES,3,2,Common Pool,Yes,,,no,,,,255.0,,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"39,924,900"
