htype,region,Project Type,Bedroom(s),Bathroom(s),Swimming Pool,Parking,Toilet(s),Construction Year,Garage,Nb. Rooms,Air-con,Beachfront,Interior Surface New,Land Surface New,Access for Disabled People,Access to rooftop,Air Conditioning,Alarm System,Automated Garage,Balcony,Basement,Carport,Centralized Ventilation System,Close to Bus Stop,Close to Golf Course,Close to Hospital,Close to School,Close to Shops,Cooking Service,Dressing,Electric Generator,Energy Efficiency - High,Fenced,Fire Alarm System,Fireplace,Fitness Room,Freehold Land,Furnished,Garden,Guarded Parking,House Cleaning,Indoor Spa,Internet/Wi-Fi,Laundry Room,Lift,Located in a private morcellement,Located in a residential complex,Located in a senior residence,Mountain View,Office,Recently Refurbished,River View,Sea Access,Sea View,Secured Parking,Security Bars,Sewage System,Solar Panels,Solar Water Heater,Soundproof,TV Room,Tennis Court,Veranda,Watchman,Water Heater,Water Tank,Yard,price
villa,"Péreybère, North",RES,4,4,Private Pool,,,2016,yes,,,,300.0,870.0,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,"35,656,200"
villa," Albion, West",none,5,4,,Yes,4,2020,no,6,,,335.0,508.0,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,"13,000,000"
villa,"Albion, West",none,3,2,Private Pool,,2,2001,yes,5,,,160.0,760.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"7,700,000"
villa,"Grand Bay, North",PDS,3,2,Private Pool,,,,no,,,,125.0,325.0,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,"27,000,000"
villa,"Black River, West",none,4,3,Private Pool,Yes,4,2006,yes,7,4.0,,240.0,1200.0,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,"23,000,000"
villa,"Mon Choisy, North",IRS,4,4,Private Pool,,,,yes,,,,400.0,1322.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,"95,418,000"
villa,"Grand Bay, North",RES,4,4,Private Pool,Yes,,,yes,,,,414.0,800.0,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,"60,402,055"
villa,"Calodyne, North",none,4,2,Private Pool,Yes,2,,no,,4.0,,300.0,1310.0,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,"12,900,000"
villa,"Trou aux Biches, North",PDS,3,3,Private Pool,,3,,no,,,,260.0,594.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,"30,000,000"
villa,"Albion, West",PDS,3,,Private Pool,Yes,,,no,,,,257.0,726.0,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,"25,620,000"
villa,"Balaclava, North",none,4,4,,Yes,5,2019,yes,,4.0,,294.0,862.6,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,yes,yes,yes,"11,500,000"
villa,"Grand Bay, North",PDS,4,3,Private Pool,,,2018,yes,,,,330.0,970.0,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"68,801,400"
villa,"Tamarin, West",none,4,3,Private Pool,,,2019,no,,,,196.0,1000.0,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"28,000,000"
villa,"Black River, West",none,4,3,Private Pool,,,25,no,,,,180.0,1773.0,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,yes,no,yes,no,no,"17,000,000"
villa,"Grand Bay, North",PDS,4,3,Private Pool,,,,yes,,1.0,,318.0,,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,"30,000,000"
villa,"Tamarin, West",PDS,4,4,Private Pool,,,,no,,,,342.0,721.0,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"42,687,000"
villa,"Cap Malheureux, North",PDS,2,2,Private Pool,,,,no,,,,152.0,554.0,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"24,814,649"
villa,"Tamarin, West",PDS,4,4,Private Pool,Yes,,,yes,,,,342.0,750.0,no,no,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,"41,431,500"
villa,"Grand Bay, North",PDS,4,4,Private Pool,,,2019,yes,,1.0,,319.0,674.0,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,"32,140,800"
villa,"Cap Malheureux, North",PDS,4,,Private Pool,,,,no,,,,503.0,746.0,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,"106,729,569"
villa,"Grand Bay, North",PDS,3,4,Private Pool,,,,yes,,3.0,,376.0,797.0,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,yes,no,yes,no,"37,143,810"
villa,"Tamarin, West",PDS,5,5,Private Pool,,,,no,,,,372.0,817.0,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"45,198,000"
villa,"St Antoine, North",none,3,3,Private Pool,,4,,no,,3.0,,325.0,900.0,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,"12,500,000"
villa,"Grand Gaube, North",none,6,4,Private Pool,,,1970,yes,,1.0,Yes,250.0,760.0,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,"33,759,000"
villa,"Haute Rive, North",IRS,3,3,Private Pool,,,,no,,1.0,,284.0,1018.0,no,no,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,"46,700,000"
villa,"Pointe aux Canonniers, North",none,4,4,Private Pool,,,,no,,,,200.0,338.0,no,no,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,"13,000,000"
villa,"Trou aux Biches, North",PDS,4,3,Private Pool,Yes,,2019,no,,,,390.0,870.0,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,"34,000,000"
villa,"Hermitage, Center",none,4,3,,Yes,3,,yes,,,,371.6,459.8,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,"10,000,000"
villa,"Grand Gaube, North",PDS,4,4,Private Pool,,,,no,,,,307.0,1014.0,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,"53,000,000"
villa,"Bel Ombre, South",IRS,4,4,Private Pool,,,2021,yes,,1.0,,438.0,1500.0,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,"87,610,450"
villa,"Trou aux Biches, North",PDS,3,3,Private Pool,,,2019,no,,,,300.0,595.0,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,"30,000,000"
villa,"Mon Choisy, North",Residential Project,3,3,Private Pool,,3,2020,yes,,3.0,,250.0,1038.0,no,no,yes,no,yes,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,"19,900,000"
villa,"Grand Bay, North",RES,3,3,Private Pool,,,,no,,,,190.0,300.0,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,"24,446,432"
villa,"Tamarin, West",PDS,4,4,Private Pool,Yes,,,yes,,,,342.0,665.0,no,no,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,"42,184,800"
villa,"Beau Champ, East",IRS,3,3,Private Pool,,,,no,,,,240.0,1740.0,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,"62,320,800"
villa,"Quatre Bornes, Center",none,2,1,,,,,no,,,,213.0,422.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"7,500,000"
villa,"Phoenix, Center",none,4,3,,Yes,3,,no,,,,278.0,274.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"6,500,000"
villa,"Goodlands, North",none,4,2,,,,,no,,1.0,,233.0,295.5,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,"6,800,000"
villa,"Albion, West",none,3,1,Private Pool,,1,2000,no,,,,167.0,485.0,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,"8,500,000"
villa,"Curepipe, Center",none,10,4,,,4,,no,,,,133.0,2044.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"33,000,000"
villa,"Péreybère, North",none,3,2,Private Pool,,,,yes,,,,232.0,379.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"7,500,000"
villa,"Curepipe, Center",none,3,2,,,,,no,,,,278.0,499.0,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,"6,000,000"
villa,"Grand Bay, North",none,4,2,Private Pool,,,,no,,,,250.0,759.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"16,000,000"
villa,"Black River, West",none,4,3,Private Pool,Yes,1,,no,,,,,879.0,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,"18,000,000"
villa,"Tamarin, West",none,4,4,Private Pool,,,,no,,,,360.0,1139.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,"16,000,000"
villa,"Quartier Militaire, Center",none,7,4,,,,,yes,,,,418.0,590.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"9,800,000"
villa,"Beau Bassin, Center",none,3,2,,Yes,2,,no,,1.0,,185.8,,no,no,no,no,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,"7,500,000"
villa,"Floréal, Center",none,4,2,,,,,yes,,,,450.0,4854.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"40,000,000"
villa,"Petite Rivière, West",none,4,2,,Yes,2,,no,,,,,217.0,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,"2,690,000"
villa,"Péreybère, North",RES,4,4,Private Pool,,1,,yes,,,,350.0,1200.0,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,"56,000,000"
villa,"Quatre Bornes, Center",none,3,3,,,3,,yes,,,,278.0,378.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"8,500,000"
villa,"Balaclava, North",PDS,3,3,Private Pool,Yes,4,,no,,,,286.0,550.0,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,yes,"45,842,647"
villa,"Péreybère, North",none,5,4,Private Pool,Yes,4,,yes,,,,400.0,1600.0,no,no,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,yes,no,"21,000,000"
villa,"Flic en Flac, West",none,5,,Private Pool,,,,no,,,,700.0,1188.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"18,500,000"
villa,"Tamarin, West",none,4,4,Private Pool,Yes,4,2018,yes,5,,,310.0,1562.0,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"18,000,000"
villa,"Tamarin, West",none,5,3,Private Pool,Yes,3,2010,yes,12,,,400.0,1737.0,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,"24,000,000"
villa,"Black River, West",RES,4,4,Private Pool,Yes,,,no,,,,194.0,889.0,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,yes,yes,no,"49,000,000"
villa,"Quatre Bornes, Center",none,4,3,,Yes,3,2000,yes,7,3.0,,278.7,570.0,no,yes,yes,yes,no,yes,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,yes,"12,500,000"
villa,"Beau Bassin, Center",none,7,1,,Yes,1,,no,,,,371.6,338.2,yes,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,"7,350,000"
villa,"Rose Hill, Center",none,3,1,,,,,no,,,,170.0,590.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"7,500,000"
villa,"Petit Raffray, North",Residential Project,3,3,Private Pool,Yes,4,2021,yes,5,3.0,,250.0,700.0,yes,no,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,"13,000,000"
villa,"Grand Bay, North",none,3,1,,Yes,1,,no,,,,,253.1,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,"3,900,000"
villa,"Quatre Bornes, Center",none,3,1,,Yes,1,,no,,,,,541.0,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,"3,200,000"
villa,"Floréal, Center",none,3,2,,,,,no,,,,123.0,116.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,"6,400,000"
villa,"Floréal, Center",none,3,2,,,,,no,,,,260.0,350.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,"15,000,000"
villa,"La Gaulette, West",none,3,,Private Pool,,,,no,,,,160.0,326.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"7,500,000"
villa,"Grand Gaube, North",none,7,6,,Yes,6,,no,,,,,443.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"12,850,000"
villa,"Albion, West",none,4,,Private Pool,Yes,4,,yes,,4.0,Yes,668.9,1520.0,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,"35,000,000"
villa,"Beau Bassin, Center",none,4,2,,Yes,2,,no,,3.0,,278.7,266.0,no,no,yes,no,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,"5,600,000"
villa,"Grand Bay, North",PDS,1,1,Private Pool,Yes,1,,no,,,,115.0,,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,"19,974,842"
villa,"Beau Bassin, Center",none,3,2,,Yes,2,,no,,,,148.6,646.0,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,"5,500,000"
villa,"Vacoas, Center",none,4,2,,Yes,,,no,,4.0,,443.2,443.2,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,no,"10,500,000"
villa,"La Caverne, Center",none,9,3,,Yes,3,1995,yes,13,,,418.1,569.7,no,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,"8,577,200"
villa,"Tamarin, West",none,4,,Private Pool,,,,no,,,,430.0,810.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"11,000,000"
villa,"Péreybère, North",none,3,3,,,3,2008,yes,7,3.0,,260.0,323.0,no,no,yes,no,no,yes,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,"8,900,000"
villa,"Moka, Center",none,5,1,,Yes,3,,no,,,,278.7,304.0,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,"12,500,000"
villa,"Pointe aux Sables, West",none,3,2,,,2,,no,,2.0,,185.8,1140.0,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,yes,no,no,yes,no,"8,500,000"
villa,"Forêt Daruty, North",none,4,4,Private Pool,,,2010,no,,,,350.0,7893.0,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,Price N/D
villa,"Anse Jonchée, South",none,3,2,Common Pool,,,,no,,,,245.0,50651.0,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,"45,000,000"
villa,"Bon Espoir, North",none,4,4,Private Pool,Yes,5,,no,,,,500.0,1730.0,no,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,"28,000,000"
villa,"Floréal, Center",none,4,4,,,,,no,,,,464.0,1033.0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,"14,000,000"
